2025-12-05 22:19:11.113 [info] Starting Python Locator /home/blueflowers/.vscode/extensions/ms-python.python-2025.18.0-linux-x64/python-env-tools/bin/pet server
2025-12-05 22:19:12.413 [info] Discovered env: /bin/python
2025-12-05 22:19:12.427 [info] Discovered env: /usr/bin/python
2025-12-05 22:19:12.439 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2025-12-05 22:19:12.439 [info] Discovered env: /usr/sbin/python
2025-12-05 22:19:12.447 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2025-12-05 22:19:12.447 [info] Discovered env: /sbin/python
2025-12-05 22:19:12.459 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2025-12-05 22:19:12.459 [info] Discovered env: /usr/sbin/python3
2025-12-05 22:19:12.467 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2025-12-05 22:19:12.467 [info] Discovered env: /sbin/python3
2025-12-05 22:19:12.480 [info] Env ("/usr/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.13", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2025-12-05 22:19:12.480 [info] Discovered env: /usr/sbin/python3.13
2025-12-05 22:19:12.487 [info] Env ("/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.13", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2025-12-05 22:19:12.488 [info] Discovered env: /sbin/python3.13
2025-12-05 22:19:12.491 [info] Locator Conda took 157.785368ms
2025-12-05 22:19:12.492 [info] Locator Homebrew took 143.429µs
2025-12-05 22:19:12.492 [info] Locator LinuxGlobal took 186.172741ms
2025-12-05 22:19:12.492 [info] Locator PipEnv took 51.868µs
2025-12-05 22:19:12.492 [info] Locator Pixi took 145.052µs
2025-12-05 22:19:12.492 [info] Locator Poetry took 251.411µs
2025-12-05 22:19:12.492 [info] Locator PyEnv took 388.659µs
2025-12-05 22:19:12.492 [info] Locator Venv took 21.911µs
2025-12-05 22:19:12.492 [info] Locator VirtualEnv took 81.443µs
2025-12-05 22:19:12.492 [info] Locator VirtualEnvWrapper took 22.953µs
2025-12-05 22:19:12.492 [info] Locator GlobalVirtualEnvs took 318.226µs
2025-12-05 22:19:12.492 [info] Locator Locators took 187.417857ms
2025-12-05 22:19:12.492 [info] Locator Path took 282.674914ms
2025-12-05 22:19:12.492 [info] Locator Workspaces took 7.990377ms
2025-12-05 22:19:12.492 [info] Refresh completed in 282ms
2025-12-05 22:19:12.493 [info] Resolved Python Environment /bin/python
